Reference, Value, Footprint, Datasheet, Type
"R1","470","Resistor_SMD:R_0805_2012Metric","~","TC0525F4700T5E"
"R3","470","Resistor_SMD:R_0805_2012Metric","~","TC0525F4700T5E"
"C3","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104"
"R4","220","Resistor_SMD:R_0805_2012Metric","~","TC0525F220JT5E"
"R7","100","Resistor_SMD:R_0805_2012Metric","~","TC0525F1000T5E"
"C5","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104"
"U4","TL972","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","","TL972IDR"
"R9","10K","Resistor_SMD:R_0805_2012Metric","~","TC0525D1002T5E"
"C12","3300pF","Capacitor_SMD:C_0805_2012Metric","~","CL21B332KBANNNC"
"R8","10K","Resistor_SMD:R_0805_2012Metric","~","TC0525D1002T5E"
"C11","3300pF","Capacitor_SMD:C_0805_2012Metric","~","CL21B332KBANNNC"
"R2","47","Resistor_SMD:R_0805_2012Metric","~","TC0525F470JT5E"
"U3","TS3A5017","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","","TS3A5017DR"
"C9","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104"
"C7","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104"
"C6","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104"
"C10","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104"
"C8","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104"
"J1","Conn_02x14_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x14_P2.54mm_Vertical","~","TSW-114-07-G-D"
"P2","BeagleBone_Black_Header","Socket_BeagleBone_Black:Socket_BeagleBone_Black","","TSW-123-15-T-D"
"P1","BeagleBone_Black_Header","Socket_BeagleBone_Black:Socket_BeagleBone_Black","","TSW-123-15-T-D"
"C4","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104"
"R6","4.7k","Resistor_SMD:R_0805_2012Metric","~","TC0525D4701T5E"
"R5","4.7k","Resistor_SMD:R_0805_2012Metric","~","TC0525D4701T5E"
"Y1","Crystal","Crystal:Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm","~","7M-27.000MEEQ-T"
"U2","Si5351A-B-GT","Package_SO:MSOP-10_3x3mm_P0.5mm","https://www.silabs.com/documents/public/data-sheets/Si5351-B.pdf","Si5351A-B-GT"
"C13","10uF","Capacitor_SMD:C_0805_2012Metric","~","CL21A106KAYNNNE"
"C1","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","CC0805KRX7R9BB104"
"C2","0.01uF","Capacitor_SMD:C_0805_2012Metric","~","CL21B103KBANNNC"
"U1","THS4304","Package_TO_SOT_SMD:SOT-23-5","","THS4304DBVT"
"D1","LED yellow","Diode_SMD:D_0603_1608Metric","https://datasheet.lcsc.com/szlcsc/Everlight-Elec-19-213-Y2C-CQ2R2L-3T-CY_C72038.pdf","19-213/Y2C-CQ2R2L/3T(CY)"
"R10","62","Resistor_SMD:R_0805_2012Metric","~","TC0525F620JT5E"
"D2","LED blue","Diode_SMD:D_0603_1608Metric","","19-217/BHC-ZL1M2RY/3T"
"R11","200","Resistor_SMD:R_0805_2012Metric","~","TC0525D2000T5E"
