Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",137.960100,-72.542400,0.000000,top
"C2","0.01uF","C_0805_2012Metric",130.340100,-68.732400,0.000000,top
"C3","0.1uF","C_0805_2012Metric",137.960100,-67.462400,180.000000,top
"C4","0.1uF","C_0805_2012Metric",130.340100,-49.682400,180.000000,top
"C5","0.1uF","C_0805_2012Metric",141.770100,-73.812400,0.000000,top
"C6","0.1uF","C_0805_2012Metric",143.040100,-80.162400,0.000000,top
"C7","0.1uF","C_0805_2012Metric",143.040100,-82.702400,0.000000,top
"C8","0.1uF","C_0805_2012Metric",143.040100,-85.242400,0.000000,top
"C9","0.1uF","C_0805_2012Metric",144.310100,-87.782400,0.000000,top
"C10","0.1uF","C_0805_2012Metric",143.040100,-77.622400,0.000000,top
"C11","3300pF","C_0805_2012Metric",134.150100,-90.322400,270.000000,top
"C12","3300pF","C_0805_2012Metric",131.610100,-95.402400,90.000000,top
"C13","10uF","C_0805_2012Metric",117.640100,-52.222400,270.000000,top
"D1","LED yellow","D_0603_1608Metric",144.310100,-68.732400,270.000000,top
"D2","LED blue","D_0603_1608Metric",143.040100,-96.672400,180.000000,top
"R1","470","R_0805_2012Metric",134.150100,-72.542400,180.000000,top
"R2","47","R_0805_2012Metric",137.960100,-70.002400,0.000000,top
"R3","470","R_0805_2012Metric",130.340100,-71.272400,180.000000,top
"R4","220","R_0805_2012Metric",134.150100,-64.922400,270.000000,top
"R5","4.7k","R_0805_2012Metric",130.340100,-54.762400,0.000000,top
"R6","4.7k","R_0805_2012Metric",130.340100,-52.222400,0.000000,top
"R7","100","R_0805_2012Metric",130.340100,-66.192400,0.000000,top
"R8","10K","R_0805_2012Metric",131.610100,-90.322400,270.000000,top
"R9","10K","R_0805_2012Metric",134.150100,-95.402400,90.000000,top
"R10","62","R_0805_2012Metric",141.770100,-68.732400,270.000000,top
"R11","200","R_0805_2012Metric",139.230100,-96.672400,0.000000,top
"U1","THS4304","SOT-23-5",134.150100,-68.732400,0.000000,top
"U2","Si5351A-B-GT","MSOP-10_3x3mm_P0.5mm",125.260100,-54.762400,180.000000,top
"U3","TS3A5017","SOIC-16_3.9x9.9mm_P1.27mm",136.690100,-80.162400,0.000000,top
"U4","TL972","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",141.770100,-91.592400,0.000000,top
"Y1","Crystal","Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm",125.260100,-49.682400,0.000000,top
