Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",127.660400,-100.888800,180.000000,top
"C2","0.01uF","C_0805_2012Metric",135.280400,-104.698800,180.000000,top
"C3","0.1uF","C_0805_2012Metric",127.660400,-105.968800,0.000000,top
"C4","0.1uF","C_0805_2012Metric",156.219050,-88.843250,0.000000,top
"C5","0.1uF","C_0805_2012Metric",123.850400,-99.618800,180.000000,top
"C6","0.1uF","C_0805_2012Metric",122.580400,-93.268800,180.000000,top
"C7","0.1uF","C_0805_2012Metric",122.580400,-90.728800,180.000000,top
"C8","0.1uF","C_0805_2012Metric",122.580400,-88.188800,180.000000,top
"C9","0.1uF","C_0805_2012Metric",121.310400,-85.648800,180.000000,top
"C10","0.1uF","C_0805_2012Metric",122.580400,-95.808800,180.000000,top
"C11","3300pF","C_0805_2012Metric",129.630100,-83.362400,90.000000,top
"C12","3300pF","C_0805_2012Metric",134.010400,-78.028800,-90.000000,top
"C13","100nF","C_0805_2012Metric",122.729050,-134.973250,-90.000000,top
"C14","10uF","C_0805_2012Metric",122.789050,-130.583250,90.000000,top
"C20","33pF","C_0805_2012Metric",145.148300,-116.281200,180.000000,top
"C21","27pF","C_0805_2012Metric",145.087300,-113.868200,180.000000,top
"C22","270pF","C_0805_2012Metric",148.070100,-107.782400,-90.000000,top
"C23","680pF","C_0805_2012Metric",141.465300,-116.281200,180.000000,top
"C24","22pF","C_0805_2012Metric",141.465300,-113.868200,180.000000,top
"C25","33pF","C_0805_2012Metric",145.029050,-122.824500,180.000000,top
"C26","27pF","C_0805_2012Metric",145.029050,-120.284500,180.000000,top
"C27","680pF","C_0805_2012Metric",141.407050,-122.824500,180.000000,top
"C28","22pF","C_0805_2012Metric",141.407050,-120.284500,180.000000,top
"C29","33pF","C_0805_2012Metric",130.770100,-120.904000,90.000000,top
"C30","27pF","C_0805_2012Metric",128.484100,-120.904000,90.000000,top
"C31","680pF","C_0805_2012Metric",130.770100,-117.348000,90.000000,top
"C32","22pF","C_0805_2012Metric",128.484100,-117.348000,90.000000,top
"CLK0_TP4","TestPoint_Small","TestPoint_Keystone_5000-5004_Miniature",146.170100,-91.782400,0.000000,top
"CLK1_TP5","TestPoint_Small","TestPoint_Keystone_5000-5004_Miniature",146.170100,-86.766400,0.000000,top
"D1","LED yellow","D_0603_1608Metric",123.039050,-103.763250,-90.000000,top
"D2","LED blue","D_0603_1608Metric",160.845500,-80.619600,90.000000,top
"GND_TP0","GND BRIDGE","TestPoint_Bridge_Pitch7.62mm_Drill1.3mm",147.770100,-77.782400,0.000000,top
"Iout_TP6","TestPoint_Small","TestPoint_Keystone_5000-5004_Miniature",117.132100,-64.922400,0.000000,top
"J1","Conn_02x14_Odd_Even","PinHeader_2x14_P2.54mm_Vertical",141.630400,-111.048800,180.000000,top
"J2","Conn_02x20_Odd_Even","PinHeader_2x20_P2.54mm_Vertical",117.487700,-134.950200,180.000000,top
"J3","FC68131","FC68131",133.629400,-62.915800,-90.000000,top
"J4","Inductor L1","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",154.170100,-101.352400,90.000000,top
"J5","Inductor L2","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",154.170100,-119.752400,90.000000,top
"J6","Inductor L3","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",141.630100,-128.582400,0.000000,top
"Qout_TP7","TestPoint_Small","TestPoint_Keystone_5000-5004_Miniature",117.132100,-70.256400,0.000000,top
"R1","470","R_0805_2012Metric",131.470400,-100.888800,0.000000,top
"R2","47","R_0805_2012Metric",127.660400,-103.428800,180.000000,top
"R3","470","R_0805_2012Metric",135.280400,-102.158800,0.000000,top
"R4","220","R_0805_2012Metric",131.470400,-108.508800,90.000000,top
"R5","4.7k","R_0805_2012Metric",153.406833,-91.188867,0.000000,top
"R6","4.7k","R_0805_2012Metric",150.139050,-93.323250,-90.000000,top
"R7","100","R_0805_2012Metric",135.280400,-107.238800,180.000000,top
"R8","10K","R_0805_2012Metric",132.170100,-83.382400,90.000000,top
"R9","10K","R_0805_2012Metric",131.470400,-78.028800,-90.000000,top
"R10","62","R_0805_2012Metric",123.070100,-107.782400,90.000000,top
"R11","200","R_0805_2012Metric",160.845500,-76.809600,-90.000000,top
"R20","50","R_0805_2012Metric",145.370100,-107.762400,-90.000000,top
"R21","50","R_0805_2012Metric",133.874800,-117.282400,-90.000000,top
"RFIN_TP7","TestPoint_Small","TestPoint_Keystone_5000-5004_Miniature",127.770100,-111.882400,-90.000000,top
"RFOUT_TP8","TestPoint_Small","TestPoint_Keystone_5000-5004_Miniature",146.270100,-101.782400,0.000000,top
"SCL_TP2","TestPoint_Small","TestPoint_Keystone_5000-5004_Miniature",156.170100,-93.882400,0.000000,top
"SDA_TP3","TestPoint_Small","TestPoint_Keystone_5000-5004_Miniature",146.170100,-96.482400,0.000000,top
"U1","THS4304","SOT-23-5",131.470400,-104.698800,180.000000,top
"U2","Si5351A-B-GT","MSOP-10_3x3mm_P0.5mm",151.676100,-85.619300,180.000000,top
"U3","TS3A5017","SOIC-16_3.9x9.9mm_P1.27mm",128.930400,-93.268800,180.000000,top
"U4","TL972","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm",123.850400,-81.838800,180.000000,top
"U5","LD1117S33TR_SOT223","SOT-223-3_TabPin2",128.569050,-131.743250,0.000000,top
"U6","BWSMA-KE-P001","BWSMA-KE-P001",152.070100,-146.482400,90.000000,top
"XA_TP1","TestPoint_Small","TestPoint_Keystone_5000-5004_Miniature",161.370100,-91.082400,0.000000,top
"Y1","Crystal","Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm",157.772100,-85.365300,0.000000,top
