Designator,Mid X,Mid Y,Layer,Rotation
C1,127.6604,-100.8888,top,180
C2,135.2804,-104.6988,top,180
C3,127.6604,-105.9688,top,0
C4,156.21905,-88.84325,top,0
C5,123.8504,-99.6188,top,180
C6,122.5804,-93.2688,top,180
C7,122.5804,-90.7288,top,180
C8,122.5804,-88.1888,top,180
C9,121.3104,-85.6488,top,180
C10,122.5804,-95.8088,top,180
C11,129.6301,-83.3624,top,90
C12,134.0104,-78.0288,top,-90
C13,122.72905,-134.97325,top,-90
C14,122.78905,-130.58325,top,90
C20,145.1483,-116.2812,top,180
C21,145.0873,-113.8682,top,180
C22,148.0701,-107.7824,top,-90
C23,141.4653,-116.2812,top,180
C24,141.4653,-113.8682,top,180
C25,145.02905,-122.8245,top,180
C26,145.02905,-120.2845,top,180
C27,141.40705,-122.8245,top,180
C28,141.40705,-120.2845,top,180
C29,130.7701,-120.904,top,90
C30,128.4841,-120.904,top,90
C31,130.7701,-117.348,top,90
C32,128.4841,-117.348,top,90
CLK0_TP4,146.1701,-91.7824,top,0
CLK1_TP5,146.1701,-86.7664,top,0
D1,123.03905,-103.76325,top,-90
D2,160.8455,-80.6196,top,90
GND_TP0,147.7701,-77.7824,top,0
Iout_TP6,117.1321,-64.9224,top,0
J1,141.6304,-111.0488,top,180
J2,117.4877,-134.9502,top,180
J3,133.6294,-62.9158,top,-90
J4,154.1701,-101.3524,top,90
J5,154.1701,-119.7524,top,90
J6,141.6301,-128.5824,top,0
Qout_TP7,117.1321,-70.2564,top,0
R1,131.4704,-100.8888,top,0
R2,127.6604,-103.4288,top,180
R3,135.2804,-102.1588,top,0
R4,131.4704,-108.5088,top,90
R5,153.406833,-91.188867,top,0
R6,150.13905,-93.32325,top,-90
R7,135.2804,-107.2388,top,180
R8,132.1701,-83.3824,top,90
R9,131.4704,-78.0288,top,-90
R10,123.0701,-107.7824,top,90
R11,160.8455,-76.8096,top,-90
R20,145.3701,-107.7624,top,-90
R21,133.8748,-117.2824,top,-90
RFIN_TP7,127.7701,-111.8824,top,-90
RFOUT_TP8,146.2701,-101.7824,top,0
SCL_TP2,156.1701,-93.8824,top,0
SDA_TP3,146.1701,-96.4824,top,0
U1,131.4704,-104.6988,top,180
U2,151.6761,-85.6193,top,180
U3,128.9304,-93.2688,top,180
U4,123.8504,-81.8388,top,180
U5,128.56905,-131.74325,top,0
U6,152.0701,-146.4824,top,90
XA_TP1,161.3701,-91.0824,top,0
Y1,157.7721,-85.3653,top,0
